"Season","TeamName","Off_1","RankOff_1","Off_2","RankOff_2","Off_3","RankOff_3","Def_1","RankDef_1","Def_2","RankDef_2","Def_3","RankDef_3"
2019,"Idaho",15.6439649359407,316,48.1456507080243,209,36.2103843560351,74,17.2777777777778,262,49.5555555555556,174,33.1666666666667,134
2019,"Idaho St.",16.7773083886542,276,44.6590223295112,308,38.5636692818346,35,17.0731707317073,267,52.3577235772358,70,30.5691056910569,218
2019,"Illinois",16.362688900469,289,50.6513809275664,125,32.9859301719646,141,24.0826873385013,13,50.9560723514212,115,24.9612403100775,338
2019,"Illinois Chicago",15.5711206896552,318,45.7974137931034,285,38.6314655172414,34,23.6939313984169,18,44.9604221635884,302,31.3456464379947,188
2019,"Illinois St.",16.1637931034483,296,49.8922413793103,153,33.9439655172414,116,18.1818181818182,206,47.6883116883117,244,34.1298701298701,104
2019,"Incarnate Word",22.1357850070721,31,51.7680339462518,104,26.0961810466761,313,18.9614935822637,157,51.1085180863477,108,29.9299883313886,243
2019,"Indiana",18.4657534246575,200,56.8767123287671,12,24.6575342465753,329,14.9538106235566,337,51.9630484988453,84,33.0831408775982,136
2019,"Indiana St.",21.4532871972318,46,53.6332179930796,59,24.9134948096886,328,20.4092920353982,83,50.8849557522124,119,28.7057522123894,278
2019,"Iona",20.3211239337682,99,46.5629703963874,267,33.1159056698445,136,17.0707570509649,268,44.6313706086096,306,38.2978723404255,17
2019,"Iowa",23.6867239732569,10,45.0811843361987,301,31.2320916905444,196,16.031746031746,308,51.7460317460317,87,32.2222222222222,158
2019,"Iowa St.",16.5523996082272,284,49.951028403526,151,33.4965719882468,129,15.1149425287356,334,50.5747126436782,131,34.3103448275862,100
2019,"Jackson St.",19.050894085282,166,56.808803301238,14,24.1403026134801,334,24.1631162507608,12,45.1612903225806,299,30.6755934266586,210
2019,"Jacksonville",17.6656151419558,240,57.4132492113565,9,24.9211356466877,327,16.2189559047136,304,53.522554485555,40,30.2584896097314,230
2019,"Jacksonville St.",18.9330543933054,176,58.7866108786611,3,22.2803347280335,346,18.1975736568458,205,47.4870017331023,252,34.315424610052,99
2019,"James Madison",19.8879551820728,123,47.5070028011204,233,32.6050420168067,151,19.2004208311415,140,52.0778537611783,79,28.7217254076802,277
2019,"Kansas",17.7,236,53.2,72,29.1,246,17.125550660793,266,46.6960352422907,273,36.1784140969163,57
2019,"Kansas St.",17.4751607247224,247,50.9643483343074,119,31.5604909409702,183,17.2879177377892,261,47.0437017994859,263,35.6683804627249,64
2019,"Kennesaw St.",21.085464753587,62,59.2638802245789,2,19.6506550218341,353,15.8183632734531,316,53.4930139720559,41,30.688622754491,209
2019,"Kent St.",20.5298013245033,92,46.6887417218543,263,32.7814569536424,145,19.0017016449234,151,50.7090187180942,123,30.2892796369824,229
2019,"Kentucky",22.8234136743728,18,53.7137235612395,57,23.4628627643876,339,16.3625662154208,299,47.7928193054738,237,35.8446144791054,61
2019,"LIU Brooklyn",20.4749340369393,93,46.754617414248,259,32.7704485488127,146,20.0412158681092,97,51.5198351365276,93,28.4389489953632,282
2019,"LSU",22.2790697674419,25,52.4651162790698,82,25.2558139534884,324,19.0104166666667,150,48.9583333333333,198,32.03125,160
2019,"La Salle",18.5120093731693,198,45.1083772700644,300,36.3796133567663,71,23.3057851239669,23,51.900826446281,86,24.7933884297521,341
2019,"Lafayette",14.0728476821192,342,48.0132450331126,217,37.9139072847682,42,17.5954592363261,239,51.2899896800826,101,31.1145510835913,195
2019,"Lamar",25.0595238095238,1,52.2619047619048,89,22.6785714285714,344,18.9110070257611,161,51.4051522248244,95,29.6838407494145,249
2019,"Lehigh",18.3847980997625,205,45.7007125890736,288,35.9144893111639,77,18.1141439205955,217,46.4516129032258,279,35.4342431761787,66
2019,"Liberty",15.1265126512651,320,48.0748074807481,214,36.7986798679868,61,19.2035966602441,139,51.1239563262685,107,29.6724470134875,250
2019,"Lipscomb",21.1781888997079,58,48.2960077896787,208,30.5258033106134,216,18.5079726651481,186,50.9111617312073,117,30.5808656036446,215
2019,"Little Rock",20.7452725250278,85,52.0578420467186,93,27.1968854282536,293,21.1306256860593,62,43.7980241492865,324,35.0713501646542,82
2019,"Long Beach St.",23.0567226890756,15,51.2605042016807,114,25.6827731092437,316,17.6613294517225,233,53.3721494420184,44,28.9665211062591,274
2019,"Longwood",19.5013850415512,142,38.4487534626039,351,42.0498614958449,8,19.534632034632,115,39.2857142857143,352,41.0714285714286,5
2019,"Louisiana",20.8484221417486,81,45.93895499224,282,33.2126228660114,135,19.611848825332,109,50.3575076608784,143,30.0306435137896,239
2019,"Louisiana Monroe",21.2466124661247,56,40.8672086720867,348,37.8861788617886,43,16.750418760469,283,50.9212730318258,116,32.3283082077052,156
2019,"Louisiana Tech",19.1241685144124,162,49.1130820399113,187,31.7627494456763,178,16.5196942974721,295,51.0288065843621,111,32.4514991181658,152
2019,"Louisville",22.2222222222222,27,43.2799611838913,330,34.4978165938865,104,19.3144722524483,127,49.8367791077258,166,30.8487486398259,208
2019,"Loyola Chicago",16.899832120873,269,54.7285954113039,34,28.3715724678232,267,14.2512077294686,344,50.6038647342995,130,35.1449275362319,78
2019,"Loyola MD",19.285364659814,151,55.3108174253549,29,25.4038179148311,322,18.1484876260312,210,50.5041246562786,136,31.3473877176902,187
2019,"Loyola Marymount",21.7815741305674,40,56.2538133007932,18,21.9646125686394,348,21.7554858934169,49,46.6457680250784,275,31.5987460815047,181
2019,"Maine",14.321295143213,335,53.9227895392279,51,31.7559153175592,179,19.8817839871037,101,40.6233207952714,349,39.4948952176249,11
2019,"Manhattan",16.8463611859838,272,47.1698113207547,243,35.9838274932615,76,25.0766400980993,4,43.2863274064991,334,31.6370324954016,177
2019,"Marist",16.9821826280624,262,45.7683741648107,286,37.249443207127,54,19.5580110497238,113,40.9944751381215,348,39.4475138121547,12
2019,"Marquette",20,116,44.3795620437956,311,35.6204379562044,82,19.5543175487465,114,50.6963788300836,124,29.7493036211699,248
2019,"Marshall",17.7922682813228,233,46.8560782487191,254,35.3516534699581,84,19.0200445434298,149,52.9175946547884,58,28.0623608017817,295
2019,"Maryland",18.8457609805924,179,49.7446373850868,162,31.4096016343207,190,17.2018348623853,264,49.0825688073394,193,33.7155963302752,118
2019,"Maryland Eastern Shore",17.6966292134831,237,53.2303370786517,70,29.0730337078652,247,18.8964081207704,163,43.9354502863092,320,37.1681415929204,37
2019,"Massachusetts",17.5925925925926,242,47.9302832244009,220,34.4771241830065,105,22.6886291179596,28,49.0967056323061,192,28.2146652497343,290
2019,"McNeese St.",21.0803689064559,63,55.5994729907773,24,23.3201581027668,340,17.4377224199288,255,47.6868327402135,246,34.8754448398576,85
2019,"Memphis",20.3428055931439,97,52.3229589535408,87,27.3342354533153,289,22.227602905569,41,46.682808716707,274,31.089588377724,198
2019,"Mercer",19.9776161163962,118,49.8041410184667,158,30.2182428651371,225,18.8772702256467,164,44.1386901485966,317,36.9840396257567,41
2019,"Miami FL",17.6829268292683,238,46.8957871396896,252,35.4212860310421,83,13.3674630261661,351,53.0147895335609,55,33.617747440273,120
2019,"Miami OH",19.8826979472141,126,42.4633431085044,337,37.6539589442815,49,19.2692987625221,131,49.6169711255156,172,31.1137301119623,196
2019,"Michigan",15.9031068983676,306,50.4476040021064,127,33.6492890995261,126,14.6435452793834,341,60.5009633911368,1,24.8554913294798,339
2019,"Michigan St.",18.5595567867036,195,49.8614958448753,156,31.5789473684211,182,18.4076792772445,190,49.2377188029362,185,32.3546019198193,155
2019,"Middle Tennessee",18.607516943931,192,51.2630930375847,113,30.1293900184843,226,18.8770053475936,165,47.2727272727273,257,33.8502673796791,114
2019,"Milwaukee",18.0471749862863,220,49.3691716950082,176,32.5836533187054,152,20.1515151515152,93,43.6363636363636,328,36.2121212121212,56
2019,"Minnesota",22.8043143297381,19,55.1617873651772,30,22.0338983050847,347,17.6,237,54.08,30,28.32,286
2019,"Mississippi",19.5881466599699,138,48.6187845303867,198,31.7930688096434,175,19.1337719298246,144,47.8070175438597,236,33.0592105263158,137
2019,"Mississippi St.",17.5775480059084,243,50.2215657311669,139,32.2008862629247,163,18.4196185286104,189,51.008174386921,112,30.5722070844687,217
2019,"Mississippi Valley St.",21.4065391733498,50,54.5342381246144,38,24.0592227020358,336,16.780487804878,281,49.2682926829268,184,33.9512195121951,110
2019,"Missouri",17.0515097690941,261,45.1154529307282,299,37.8330373001776,44,20.5351948807446,76,47.7021524141943,242,31.7626527050611,171
2019,"Missouri St.",19.6544276457883,134,50.8639308855292,122,29.4816414686825,239,17.7077675176534,232,45.9532862574688,287,36.3389462248778,52
2019,"Monmouth",23.8623751387347,7,53.496115427303,61,22.6415094339623,345,22.2055888223553,42,36.626746506986,353,41.1676646706587,4
2019,"Montana",17.8128523111612,231,50.7328072153326,123,31.4543404735062,187,23.0721393034826,25,48.7562189054726,200,28.1716417910448,291
2019,"Montana St.",20.0431034482759,111,44.7198275862069,307,35.2370689655172,86,15.1767151767152,332,47.0893970893971,261,37.7338877338877,22
2019,"Morehead St.",20.0319659030368,113,47.8423015450186,224,32.1257325519446,165,16.8384879725086,279,52.5282277859597,64,30.6332842415317,211
2019,"Morgan St.",20.9687699171447,72,55.3218610579987,28,23.7093690248566,338,19.1288993525603,145,49.7939964685109,168,31.0771041789288,200
2019,"Mount St. Mary's",19.3696275071633,147,48.1375358166189,211,32.4928366762178,156,19.9389623601221,99,48.3214649033571,220,31.7395727365209,174
2019,"Murray St.",18.5089974293059,199,52.6478149100257,80,28.8431876606684,253,19.183922046285,142,54.3239951278928,28,26.4920828258222,323
2019,"NJIT",21.3833157338965,51,48.363252375924,207,30.2534318901795,224,18.0229382850901,224,52.3211359912616,73,29.6559257236483,251
2019,"Navy",18.9283634245778,177,50.3203261502621,135,30.7513104251602,212,18.0570221752904,221,48.6800422386484,205,33.2629355860612,128
2019,"Nebraska",19.1729323308271,160,49.4092373791622,175,31.4178302900107,189,17.1985815602837,265,55.3191489361702,18,27.4822695035461,307
2019,"Nebraska Omaha",13.8,346,51.4,112,34.8,100,15.4779969650986,321,47.6479514415782,248,36.8740515933232,43
2019,"Nevada",21.283624351109,54,46.7201510146295,261,31.9962246342614,168,16.1799065420561,306,49.1822429906542,188,34.5210280373832,94
2019,"New Hampshire",13.2450331125828,349,41.5011037527594,342,45.2538631346578,1,20.3161592505855,86,49.2974238875878,183,30.3864168618267,225
2019,"New Mexico",21.4898177920686,45,41.6934619506967,341,36.8167202572347,60,18.7693898655636,169,53.464322647363,42,27.7662874870734,302
2019,"New Mexico St.",18.5691741188848,194,47.0278800631247,248,34.4029458179905,108,19.2565508836076,134,47.6538695917124,247,33.0895795246801,135
2019,"New Orleans",21.0526315789474,65,54.016620498615,45,24.9307479224377,326,21.3806970509383,57,53.083109919571,54,25.5361930294906,334
2019,"Niagara",19.7543500511771,131,46.4687819856704,268,33.7768679631525,122,13.7777777777778,348,51.5555555555556,92,34.6666666666667,91
2019,"Nicholls St.",13.9473684210526,344,43.0263157894737,333,43.0263157894737,5,19.3548387096774,124,57.5953079178886,5,23.049853372434,351
2019,"Norfolk St.",21.316249271986,52,45.6610366919045,289,33.0227140361095,139,22.466705269253,33,43.312101910828,333,34.2211928199189,101
2019,"North Alabama",18.7997550520514,182,48.4996938150643,203,32.7005511328843,148,20.8245243128964,67,51.2684989429175,102,27.906976744186,300
2019,"North Carolina",17.3626373626374,251,52.3076923076923,88,30.3296703296703,221,17.594537815126,240,47.4789915966387,253,34.8214285714286,89
2019,"North Carolina A&T",17.1655467318265,255,52.0464263897373,94,30.7880268784362,209,18.2291666666667,203,53.8194444444444,34,27.9513888888889,296
2019,"North Carolina Central",19.0970103721782,165,53.8133007931666,55,27.0896888346553,296,18.2692307692308,201,55.0480769230769,19,26.6826923076923,317
2019,"North Carolina St.",16.1013116236997,299,53.6408864767074,58,30.2578018995929,223,22.256890275611,38,53.2501300052002,48,24.4929797191888,345
2019,"North Dakota",16.010498687664,300,50.1312335958005,144,33.8582677165354,121,18.5096153846154,185,54.8076923076923,20,26.6826923076923,317
2019,"North Dakota St.",18.3863885839737,204,41.9319429198683,340,39.6816684961581,21,14.7497337593184,339,54.7390841320554,23,30.5111821086262,219
2019,"North Florida",14.1854636591479,338,49.4235588972431,174,36.390977443609,70,19.161105815062,143,56.2440419447092,13,24.5948522402288,343
2019,"North Texas",15.8884172225591,307,50.0909642207398,146,34.020618556701,114,21.083939193655,64,47.9841374752148,230,30.9319233311302,205
2019,"Northeastern",18.8143067123959,180,43.4100930916218,327,37.7756001959824,47,16.7270844122216,284,53.1330916623511,52,30.1398239254272,235
2019,"Northern Arizona",18.9700472937467,174,47.293746715712,240,33.7362059905413,124,16.0218253968254,310,49.9007936507937,163,34.0773809523809,107
2019,"Northern Colorado",19.4444444444444,145,44.3310657596372,313,36.2244897959184,72,16.5196942974721,295,57.0252792475015,8,26.4550264550265,324
2019,"Northern Illinois",15.9592529711375,302,56.3667232597623,17,27.6740237691002,283,19.6561604584527,108,40.1146131805158,351,40.2292263610315,7
2019,"Northern Iowa",17.9351032448378,222,43.3038348082596,329,38.7610619469027,33,19.4997157475839,116,49.1188175099488,191,31.3814667424673,185
2019,"Northern Kentucky",18.3572488866898,206,47.5012370113805,234,34.1415141019297,111,21.5077605321508,53,50.2217294900222,148,28.2705099778271,287
2019,"Northwestern",19.7795823665893,129,47.3317865429234,238,32.8886310904872,143,19.5704057279236,111,56.8019093078759,12,23.6276849642005,349
2019,"Northwestern St.",19.9608610567515,120,52.4461839530333,83,27.5929549902153,288,20.2545655783066,88,47.371333702269,255,32.3741007194245,154
2019,"Notre Dame",19.5214790647091,139,44.26318651441,314,36.2153344208809,73,12.6666666666667,353,53.3333333333333,45,34,109
2019,"Oakland",18.6548846342661,188,44.3789887088856,312,36.9661266568483,56,16.6824644549763,288,53.7440758293839,36,29.5734597156398,254
2019,"Ohio",16.9626454378445,264,56.2155541947336,20,26.8218003674219,303,18.1716833890747,207,47.7146042363434,241,34.1137123745819,106
2019,"Ohio St.",20.0109349371241,115,48.6604702022963,197,31.3285948605796,192,20.3125,87,48.6778846153846,206,31.0096153846154,201
2019,"Oklahoma",18.1621621621622,212,53.9459459459459,50,27.8918918918919,280,15.0285714285714,335,48.4571428571429,214,36.5142857142857,48
2019,"Oklahoma St.",18.207600680658,211,43.6755530346001,320,38.1168462847419,39,18.9852700490998,154,44.189852700491,316,36.8248772504092,44
2019,"Old Dominion",16.8300653594771,273,48.0392156862745,215,35.1307189542484,88,19.3567961165049,123,43.3252427184466,332,37.3179611650485,33
2019,"Oral Roberts",14.503415659485,333,50.6568575932738,124,34.8397267472412,97,18.8330170777989,168,46.2998102466793,280,34.8671726755218,87
