,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
60,Cleveland State,31,10,21,.323,-7.81,-1.36,5,13,8,9,2,12,2300,2437,,71.4,103.1,.319,.447,.545,47.5,57.6,7.8,8.3,.518,16.3,26.7,.218
61,Coastal Carolina,31,15,16,.484,-1.11,-1.93,9,9,9,4,5,10,2364,2265,,70.7,107.1,.409,.384,.559,52.8,50.9,8.9,8.0,.520,17.3,32.1,.294
62,Colgate,34,24,10,.706,1.09,-4.34,13,5,15,1,9,9,2578,2381,,67.9,110.5,.287,.405,.585,53.0,57.1,9.0,10.2,.558,16.7,29.6,.213
63,College of Charleston,33,24,9,.727,2.77,-2.55,12,6,13,2,8,5,2453,2265,,66.3,111.3,.338,.367,.581,50.4,44.1,9.8,7.3,.545,14.1,25.4,.259
64,Colorado State,32,12,20,.375,0.20,1.72,7,11,8,9,3,8,2393,2406,,68.9,108.1,.318,.397,.572,49.8,54.5,9.0,6.6,.548,15.1,24.5,.221
65,Colorado,33,21,12,.636,9.96,3.56,10,8,13,2,5,8,2439,2228,,69.5,106.0,.375,.350,.554,54.8,51.6,7.3,8.5,.513,16.8,31.3,.280
66,Columbia,28,10,18,.357,-4.88,-1.84,5,9,5,7,4,9,2059,2052,,69.4,102.3,.220,.381,.542,49.7,56.9,10.8,8.3,.521,16.1,25.6,.155
67,Connecticut,33,16,17,.485,6.80,4.31,6,12,13,5,1,8,2436,2354,,69.7,105.5,.327,.374,.538,50.7,48.3,8.7,11.9,.510,15.9,32.3,.223
68,Coppin State,33,8,25,.242,-18.67,-6.88,7,9,3,7,4,16,2118,2507,,71.9,88.5,.377,.460,.492,48.8,45.9,7.1,9.5,.454,20.5,25.5,.251
69,Cornell,30,15,15,.500,-5.47,-1.54,7,7,9,4,6,11,2060,2113,,69.5,97.5,.328,.429,.541,46.7,59.9,8.4,8.6,.507,17.1,18.6,.236
70,Creighton,32,18,14,.563,12.63,9.15,9,9,11,6,4,7,2520,2362,,70.2,110.5,.289,.472,.593,49.8,56.7,9.5,7.1,.575,16.5,24.8,.198
71,Dartmouth,30,11,19,.367,-5.45,-2.70,2,12,8,6,2,12,2160,2116,,68.3,104.6,.249,.411,.553,50.3,52.5,7.7,8.5,.528,15.6,24.3,.180
72,Davidson,32,24,8,.750,7.71,2.00,14,4,14,1,7,5,2284,2073,,66.2,107.4,.283,.465,.567,51.3,57.6,7.9,7.4,.537,15.1,23.8,.212
73,Dayton,32,21,11,.656,10.14,3.01,13,5,13,4,7,3,2333,2105,,66.2,108.9,.325,.345,.583,52.2,60.7,7.5,7.1,.561,16.8,26.7,.224
74,Delaware State,31,6,25,.194,-26.73,-10.04,2,14,3,9,2,15,1956,2371,,72.6,86.9,.249,.402,.446,46.7,47.9,9.5,5.9,.414,16.5,28.1,.169
75,Delaware,33,17,16,.515,-7.51,-4.42,8,10,9,7,7,8,2352,2380,,64.7,106.9,.312,.413,.567,48.8,51.2,6.8,6.5,.537,15.4,23.8,.227
76,Denver,30,8,22,.267,-11.67,-2.81,3,13,6,7,1,14,2086,2319,,69.1,100.3,.267,.361,.537,51.5,46.9,6.8,7.9,.504,17.4,26.7,.203
77,DePaul,30,15,15,.500,6.92,5.16,7,11,12,6,3,8,2306,2253,,71.0,107.8,.354,.332,.557,54.1,53.0,8.9,8.7,.524,16.7,32.8,.253
78,Detroit Mercy,31,11,20,.355,-6.20,-0.23,8,10,6,6,4,14,2279,2464,,70.4,104.3,.310,.440,.530,45.7,40.7,10.9,7.0,.497,14.2,28.8,.222
79,Drake,33,24,9,.727,3.32,-0.19,12,6,13,2,7,5,2490,2307,,69.4,107.1,.325,.401,.577,51.4,57.7,7.5,10.0,.544,16.8,25.3,.245
80,Drexel,32,13,19,.406,-6.62,-2.53,7,11,9,7,3,11,2425,2475,,70.0,108.3,.307,.352,.557,51.9,53.1,6.4,4.9,.522,14.8,29.0,.232
81,Duke,33,28,5,.848,28.42,12.30,14,4,15,2,7,2,2766,2234,,73.8,113.1,.345,.380,.561,53.9,52.5,12.8,16.4,.535,14.9,36.2,.237
82,Duquesne,32,19,13,.594,0.78,-0.37,10,8,14,4,4,6,2351,2314,,70.5,103.0,.350,.444,.532,48.2,54.7,11.0,12.1,.499,16.9,31.6,.243
83,East Carolina,31,10,21,.323,-5.56,1.25,3,15,8,9,1,11,2088,2299,,69.9,95.2,.356,.304,.499,47.9,51.0,10.2,10.0,.461,16.6,27.9,.243
84,East Tennessee State,33,24,9,.727,6.00,-1.48,13,5,13,2,8,6,2613,2269,,70.0,111.8,.308,.362,.570,57.5,52.8,10.5,11.9,.550,17.0,37.8,.205
85,Eastern Illinois,32,14,18,.438,-11.79,-4.98,7,11,7,6,5,10,2299,2457,,69.0,101.7,.285,.384,.530,49.2,52.5,8.8,10.7,.503,16.4,29.3,.196
86,Eastern Kentucky,31,13,18,.419,-7.35,-2.42,6,12,9,5,3,11,2562,2577,,79.9,101.3,.321,.392,.523,47.5,50.8,12.5,8.0,.488,15.4,27.7,.229
87,Eastern Michigan,32,15,17,.469,0.84,4.87,9,9,11,7,4,10,2203,2213,,66.5,102.3,.332,.348,.522,51.0,45.1,11.0,13.5,.500,17.3,35.6,.209
88,Eastern Washington,33,16,17,.485,-6.82,-4.32,12,8,9,4,4,13,2398,2459,,69.6,102.9,.269,.437,.536,49.8,53.6,8.3,8.5,.507,14.7,24.3,.196
89,Elon,32,11,21,.344,-11.09,-3.12,7,11,5,11,6,7,2266,2445,,69.0,101.9,.238,.506,.547,48.0,57.6,6.1,5.1,.527,16.6,23.6,.165
90,Evansville,32,11,21,.344,-3.65,0.32,5,13,9,7,2,13,2234,2317,,70.8,97.5,.372,.437,.535,47.3,52.7,8.1,7.1,.495,16.6,18.9,.268
91,Fairfield,31,9,22,.290,-10.03,-6.97,6,12,5,7,3,13,2072,2167,,68.1,98.1,.239,.422,.530,47.6,52.7,9.6,6.0,.507,18.2,25.8,.166
92,Fairleigh Dickinson,33,20,13,.606,-5.88,-8.13,12,6,13,4,7,9,2489,2352,,68.6,108.3,.360,.344,.579,49.4,53.2,11.0,10.2,.547,17.1,28.9,.263
93,Florida A&M,31,12,19,.387,-13.50,-8.01,9,7,6,3,6,14,1927,2057,,67.1,92.3,.307,.298,.513,47.9,49.4,10.8,10.7,.493,21.0,27.9,.188
94,Florida Atlantic,32,17,15,.531,-0.97,-1.38,8,10,9,5,6,8,2256,2175,,70.4,99.0,.280,.452,.521,52.6,51.6,7.8,8.4,.485,17.9,30.0,.210
95,Florida Gulf Coast,32,14,18,.438,-4.99,-1.36,9,7,10,4,4,10,2280,2360,,71.1,100.2,.329,.405,.552,48.3,55.5,9.5,11.6,.528,18.8,25.6,.220
96,Florida International,32,19,13,.594,-3.74,-1.27,10,8,12,4,5,8,2643,2555,,80.7,102.3,.376,.415,.530,45.5,50.2,13.1,11.5,.505,15.2,26.2,.240
97,Florida State,33,27,6,.818,18.45,10.12,13,5,15,1,6,4,2484,2209,,69.2,107.2,.367,.385,.551,53.6,50.1,10.0,12.5,.511,16.5,33.2,.270
98,Florida,33,19,14,.576,15.74,10.89,9,9,9,6,5,6,2259,2099,,65.0,104.1,.303,.435,.528,49.2,51.2,11.1,11.2,.495,15.1,31.1,.217
99,Fordham,32,12,20,.375,-4.64,-2.03,3,15,9,10,3,8,2108,2141,,66.4,98.0,.244,.440,.500,47.5,47.4,8.7,9.9,.475,14.1,25.3,.166
100,Fresno State,32,23,9,.719,9.38,1.06,13,5,13,4,7,3,2448,2162,,69.6,109.5,.307,.481,.573,51.0,54.0,10.2,10.6,.546,15.8,27.1,.221
101,Furman,32,25,7,.781,8.01,-1.47,13,5,13,2,11,4,2492,2106,,68.3,112.3,.261,.478,.583,51.2,56.4,12.6,11.7,.563,15.8,29.9,.186
102,Gardner-Webb,34,23,11,.676,-2.94,-5.30,11,6,13,0,8,9,2662,2397,,68.7,111.6,.385,.364,.588,49.5,52.7,9.8,8.8,.559,14.7,24.8,.274
103,George Mason,33,18,15,.545,1.12,0.36,11,7,11,6,6,6,2314,2289,,68.1,102.2,.342,.343,.537,51.3,48.4,9.0,8.2,.501,16.6,28.9,.245
104,George Washington,33,9,24,.273,-6.31,1.54,4,14,6,11,2,10,2097,2356,,67.5,92.8,.326,.343,.493,47.4,50.3,7.5,8.3,.458,16.3,23.3,.223
105,Georgetown,32,19,13,.594,7.64,6.01,9,9,13,5,5,6,2557,2505,,73.4,106.0,.386,.376,.553,52.2,61.1,7.8,10.6,.512,15.8,28.9,.284
106,Georgia Southern,32,21,11,.656,4.43,0.40,12,6,10,4,7,7,2668,2422,,75.5,109.6,.361,.311,.579,50.8,39.5,10.2,10.4,.554,15.9,28.0,.248
107,Georgia State,31,22,9,.710,2.58,0.38,13,5,13,1,7,7,2411,2297,,71.4,108.9,.342,.437,.575,45.6,46.3,11.3,14.3,.556,14.6,23.7,.224
