,,Overall,,,,,,Conf.,,Home,,Away,,Points,,,,Opponent Totals,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
273,Savannah State,26,10,16,0.385,-20.06,-7.1,7,5,6,4,3,12,2000,2314,,1045,829,1760,0.471,261,727,0.359,395,557,0.709,346,1187,521,193,84,392,414
274,Seattle,26,14,12,0.538,-1.06,-3.64,2,9,8,4,3,8,1919,1794,,1040,605,1489,0.406,167,501,0.333,417,579,0.72,244,854,245,154,80,306,526
275,Seton Hall,26,16,10,0.615,10.67,8.14,7,7,9,4,3,6,1921,1855,,1045,653,1515,0.431,203,596,0.341,344,462,0.745,267,923,354,152,112,370,474
276,Siena,28,14,14,0.5,-7.78,-5.99,9,6,6,7,7,6,1786,1836,,1140,682,1461,0.467,194,522,0.372,278,401,0.693,236,930,299,137,64,327,396
277,South Alabama,26,12,14,0.462,-4.51,-2.43,5,8,11,5,1,9,1916,1897,,1055,661,1465,0.451,181,501,0.361,394,582,0.677,273,934,352,144,114,370,478
278,South Carolina State,28,7,21,0.25,-16.43,-6.39,5,7,5,5,2,16,1946,2138,,1130,740,1524,0.486,223,601,0.371,435,625,0.696,260,914,365,155,96,407,586
279,South Carolina Upstate,29,6,23,0.207,-14.6,-4.3,1,14,5,7,1,13,1973,2147,,1170,746,1639,0.455,199,582,0.342,456,645,0.707,321,1096,384,185,94,400,432
280,South Carolina,26,14,12,0.538,8.36,9.64,9,4,10,5,3,6,1940,1921,,1045,644,1519,0.424,203,581,0.349,430,582,0.739,298,951,326,181,93,387,515
281,South Dakota State,29,22,7,0.759,6.85,-4.76,12,2,11,1,7,5,2460,2112,,1160,759,1848,0.411,294,881,0.334,300,432,0.694,268,975,371,167,87,330,527
282,South Dakota,26,11,15,0.423,-5.31,-2.68,5,8,6,6,4,7,1806,1818,,1045,640,1442,0.444,185,521,0.355,353,472,0.748,217,894,286,130,95,325,498
283,South Florida,26,18,8,0.692,6.35,-0.09,7,6,14,3,3,4,1913,1711,,1065,566,1382,0.41,167,537,0.311,412,597,0.69,235,827,328,186,113,423,606
284,Southeast Missouri State,28,9,19,0.321,-11.26,-5.03,4,11,5,7,2,11,1994,2117,,1145,744,1660,0.448,224,698,0.321,405,566,0.716,285,1026,403,167,104,365,440
285,Southeastern Louisiana,27,13,14,0.481,-8.56,-5.28,9,5,7,5,6,8,1791,1837,,1080,637,1425,0.447,155,476,0.326,408,561,0.727,244,855,293,192,99,404,518
286,Southern California,27,15,12,0.556,9.02,4.28,8,6,11,4,2,6,2074,1946,,1095,700,1677,0.417,214,648,0.33,332,492,0.675,305,1015,375,160,76,363,482
287,SIU Edwardsville,27,9,18,0.333,-14.25,-5.05,5,10,6,7,1,10,1974,2186,,1120,765,1560,0.49,212,579,0.366,444,623,0.713,249,1008,399,195,82,396,529
288,Southern Illinois,28,14,14,0.5,1.19,0.23,7,8,7,6,6,7,1903,1876,,1120,681,1598,0.426,229,646,0.354,285,411,0.693,299,923,363,179,88,367,455
289,Southern Methodist,25,13,12,0.52,7.07,2.27,5,8,9,6,2,5,1847,1727,,1000,607,1406,0.432,210,585,0.359,303,416,0.728,239,802,381,126,68,306,392
290,Southern Mississippi,26,17,9,0.654,3.37,-0.82,9,5,10,2,6,5,1900,1675,,1045,595,1506,0.395,223,699,0.319,262,406,0.645,263,948,313,143,70,346,383
291,Southern Utah,25,13,12,0.52,-9.24,-5.94,8,8,8,2,4,10,1913,1896,,1015,638,1505,0.424,204,563,0.362,416,585,0.711,249,934,316,163,93,336,505
292,Southern,26,4,22,0.154,-17.55,-5.71,3,10,4,4,0,16,1688,1975,,1045,661,1348,0.49,183,479,0.382,470,669,0.703,255,872,342,164,92,394,470
293,St. Bonaventure,26,12,14,0.462,1.91,0.37,8,5,7,5,4,6,1743,1703,,1065,594,1423,0.417,206,625,0.33,309,465,0.665,242,875,304,160,77,358,428
294,St. Francis (NY),28,16,12,0.571,-9.17,-7.55,8,7,10,2,6,8,2001,1964,,1120,684,1601,0.427,150,498,0.301,446,612,0.729,279,1057,304,144,106,376,510
295,St. John's (NY),27,19,8,0.704,10.61,5.46,7,7,10,3,4,5,2120,1981,,1095,671,1583,0.424,232,690,0.336,407,580,0.702,273,1041,367,150,65,417,453
296,Stanford,26,14,12,0.538,6.04,5.69,7,7,9,2,4,8,1911,1902,,1045,696,1585,0.439,147,426,0.345,363,528,0.688,281,904,287,174,81,321,516
297,Stephen F. Austin,25,13,12,0.52,-10.06,-4.63,6,7,9,5,3,6,1756,1794,,1010,613,1406,0.436,221,608,0.363,347,492,0.705,274,860,382,180,71,406,465
298,Stetson,28,6,22,0.214,-14.98,-2.4,2,11,6,8,0,14,1939,2209,,1125,788,1676,0.47,251,676,0.371,382,548,0.697,306,1093,457,179,102,376,444
299,Stony Brook,27,21,6,0.778,-2.45,-6.56,9,3,8,2,12,2,1936,1793,,1090,602,1557,0.387,206,667,0.309,383,570,0.672,272,943,321,164,102,349,520
300,Syracuse,26,18,8,0.692,14.66,8.43,9,4,13,4,5,2,1819,1657,,1045,556,1417,0.392,212,684,0.31,333,474,0.703,296,945,382,161,76,413,485
301,Temple,26,19,7,0.731,8.32,4.55,9,4,10,2,7,4,1939,1841,,1060,667,1490,0.448,180,556,0.324,327,498,0.657,254,968,329,143,65,388,439
302,Tennessee-Martin,26,10,16,0.385,-10.2,-4.45,5,10,9,3,1,12,1961,2037,,1050,760,1585,0.479,240,645,0.372,277,405,0.684,288,940,448,184,84,368,416
303,Tennessee State,27,8,19,0.296,-11.4,-2.12,5,10,5,6,3,12,1947,2092,,1090,681,1462,0.466,186,511,0.364,544,771,0.706,250,935,305,182,102,413,504
